LotFrontageSF,LotAreaSF,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMaterial,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,FirstFlrSF,SecondFlrSF,GrLivArea,GarageType,GarageYrBlt,GarageCars,GarageSF,GarageQual,WoodDeckSF,OpenPorchSF,MiscFeature,SalePrice
60,7200,Single Family Detached,1 Story,5,7,1972,1972,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,632,780,GasA,5,Yes,780,0,780,Detached,1973,1,352,3,196,0,None,124900
63,13072,Single Family Detached,1 Story,6,5,2004,2004,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,941,1158,GasA,5,Yes,1158,0,1158,Detached,2006,2,576,3,0,50,None,158000
60,7200,Single Family Detached,2.5 Story,5,7,1920,1996,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,2,0,530,GasA,3,No,581,530,1111,Detached,1935,1,288,3,0,0,None,101000
44,6442,Townhouse End Unit,1 Story,8,5,2006,2006,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,4,24,1370,GasA,5,Yes,1370,0,1370,Attached,2006,2,484,3,120,49,None,202500
50,10300,Single Family Detached,2 Story,7,6,1921,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,576,GasA,4,Yes,902,808,1710,Detached,1990,2,480,3,12,11,None,140000
0,9375,Single Family Detached,2 Story,7,5,1997,1998,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,739,1057,GasA,5,Yes,1057,977,2034,Attached,1998,2,645,3,576,36,None,219500
76,9591,Single Family Detached,2 Story,8,5,2004,2005,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,0,1143,GasA,5,Yes,1143,1330,2473,Built-In,2004,3,852,3,192,151,None,317000
0,19900,Single Family Detached,1 Story,7,5,1970,1989,Gable,Standard Composite Shingle,3,3,Cinder Block,4,3,912,1947,GasA,3,Yes,2207,0,2207,Attached,1970,2,576,3,301,0,None,180000
72,10665,Single Family Detached,1 Story,7,5,2003,2003,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,1013,1453,GasA,5,Yes,1479,0,1479,Attached,2003,2,558,3,144,29,None,226000
47,4608,Single Family Detached,1 Story,4,6,1945,1950,Gable,Standard Composite Shingle,3,4,Cinder Block,3,3,0,747,GasA,3,Yes,747,0,747,Attached,1945,1,220,3,0,0,None,80000
81,15593,Single Family Detached,1.5 Story,7,4,1953,1953,Gable,Standard Composite Shingle,4,3,Cinder Block,3,3,603,1304,GasW,3,Yes,1304,983,2287,Attached,1953,2,667,3,0,21,None,225000
95,13651,Single Family Detached,1 Story,7,6,1973,1973,Gable,Standard Composite Shingle,3,4,Cinder Block,4,3,1880,2223,GasA,5,Yes,2223,0,2223,Attached,1973,2,516,3,300,0,None,244000
69,7599,Single Family Detached,1 Story,4,6,1982,2006,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,565,845,GasA,3,Yes,845,0,845,Detached,1987,2,360,3,0,0,None,129500
74,10141,Single Family Detached,2 Story,7,5,1998,1998,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,0,832,GasA,4,Yes,885,833,1718,Attached,1998,2,427,3,0,94,None,185000
85,10200,Single Family Detached,1 Story,5,7,1954,2003,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,320,1086,GasA,4,Yes,1086,0,1086,Attached,1989,2,490,3,0,0,None,144900
60,5790,Single Family Detached,2 Story,3,6,1915,1950,Gambrel,Standard Composite Shingle,4,4,Cinder Block,2,3,0,840,GasA,4,No,840,765,1605,Detached,1915,1,379,3,0,0,None,107400
21,1596,Townhouse,Split Level,4,5,1973,1973,Gable,Standard Composite Shingle,3,3,Cinder Block,4,3,462,462,GasA,3,Yes,526,462,988,Built-In,1973,1,297,3,120,101,None,91000
0,8475,Single Family Detached,1 Story,4,7,1956,1956,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,228,952,GasA,5,Yes,952,0,952,Detached,1956,1,283,3,0,0,None,135750
50,8635,Single Family Detached,1.5 Story,5,5,1948,2001,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,336,672,GasA,3,Yes,1072,213,1285,Detached,1948,1,240,3,0,0,None,127000
72,10778,Duplex,1 Story,4,5,1968,1968,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,0,1768,GasA,3,No,1768,0,1768,None,1968,0,0,0,0,0,None,136500
60,10440,Single Family Detached,2 Story,5,6,1910,1981,Gable,Standard Composite Shingle,3,3,Poured Concrete,3,3,0,440,GasA,4,Yes,682,548,1230,Detached,1966,2,440,3,74,0,None,110000
100,13000,Single Family Detached,2 Story,6,6,1968,1968,Gable,Standard Composite Shingle,3,4,Cinder Block,4,3,448,896,GasA,3,Yes,1182,960,2142,Attached,1968,1,509,3,0,72,None,193500
32,4500,Townhouse End Unit,1 Story,6,5,1998,1998,Hip,Standard Composite Shingle,3,4,Poured Concrete,5,4,1201,1237,GasA,5,Yes,1337,0,1337,Attached,1998,2,405,3,0,199,None,153500
78,10206,Single Family Detached,1 Story,8,5,2007,2007,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,33,1563,GasA,5,Yes,1563,0,1563,Attached,2007,3,758,3,144,99,None,245000
80,8892,Single Family Detached,1 Story,5,5,1960,1960,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,0,1065,GasA,4,Yes,1065,0,1065,Detached,1974,2,461,3,74,0,None,126500
0,8530,Single Family Detached,Split Level,7,5,1995,1996,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,0,384,GasA,4,Yes,804,670,1474,Built-In,1995,2,400,3,120,72,Shed,168500
121,16059,Single Family Detached,2 Story,8,5,1991,1992,Hip,Standard Composite Shingle,4,3,Cinder Block,4,3,0,1288,GasA,5,Yes,1301,1116,2417,Attached,1991,2,462,3,127,82,None,260000
122,11911,Single Family Detached,2 Story,6,5,2005,2005,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,684,GasA,5,Yes,684,876,1560,Built-In,2005,2,400,3,100,38,None,174000
40,3951,Townhouse End Unit,2 Story,6,5,2009,2009,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,612,GasA,5,Yes,612,612,1224,Detached,2009,2,528,3,0,234,None,164500
105,8470,Single Family Detached,1.5 Story,3,2,1915,1982,Hip,Standard Composite Shingle,2,2,Cinder Block,3,2,0,1013,GasA,3,No,1013,0,1526,None,1915,0,0,0,0,0,None,85000
60,8070,Single Family Detached,1 Story,4,5,1994,1995,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,588,990,GasA,5,Yes,990,0,990,None,1994,0,0,0,0,0,None,123600
60,7200,Single Family Detached,1 Story,4,5,1950,1950,Gable,Standard Composite Shingle,3,3,Slab,0,0,0,0,GasA,3,Yes,1040,0,1040,Detached,1950,2,420,3,0,29,None,109900
85,8500,Single Family Detached,1 Story,5,3,1961,1961,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,600,1235,GasA,3,Yes,1235,0,1235,Attached,1961,2,480,3,0,0,None,98600
80,13360,Single Family Detached,1 Story,5,7,1921,2006,Gable,Standard Composite Shingle,3,4,Brick & Tile,4,3,713,876,GasA,5,Yes,964,0,964,Detached,1921,2,432,3,0,0,None,163500
60,7200,Two Family Conversion,2.5 Story,6,6,1910,1998,Hip,Standard Composite Shingle,3,3,Brick & Tile,3,2,1046,1214,GasW,5,No,1260,1031,2291,Detached,1900,2,506,3,0,0,None,133900
69,9337,Single Family Detached,2 Story,6,5,1997,1997,Gable,Standard Composite Shingle,3,4,Poured Concrete,4,3,648,824,GasA,5,Yes,905,881,1786,Attached,1997,2,684,3,0,162,None,204750
0,9765,Single Family Detached,2 Story,6,8,1993,1993,Gable,Standard Composite Shingle,5,4,Poured Concrete,4,4,310,680,GasA,4,Yes,680,790,1470,Built-In,1993,2,420,3,232,63,Shed,185000
78,10264,Single Family Detached,1 Story,7,5,1999,1999,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,1162,1588,GasA,5,Yes,1588,0,1588,Attached,1999,2,472,3,158,29,None,214000
73,10921,Single Family Detached,1 Story,4,5,1965,1965,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,520,960,GasA,3,Yes,960,0,960,Attached,1965,1,432,3,120,0,None,94750
85,10625,Single Family Detached,1 Story,5,5,1920,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,108,458,GasA,2,No,835,0,835,Basement Garage,1920,1,366,2,0,0,Shed,83000
77,9320,Single Family Detached,1 Story,4,5,1959,1959,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,569,950,GasA,2,Yes,1225,0,1225,None,1959,0,0,0,352,0,Shed,128950
0,10603,Single Family Detached,1 Story,6,7,1977,2001,Gable,Standard Composite Shingle,3,3,Poured Concrete,3,3,1200,1610,GasA,4,Yes,1610,0,1610,Attached,1977,2,480,3,168,68,None,205000
77,9206,Single Family Detached,2 Story,6,5,1985,1985,Gable,Standard Composite Shingle,4,3,Cinder Block,4,3,0,741,GasA,3,Yes,977,755,1732,Attached,1985,2,476,3,192,46,None,178000
64,7018,Duplex,1 Story,5,5,1979,1979,Gable,Standard Composite Shingle,3,2,Slab,0,0,0,0,GasA,3,Yes,1535,0,1535,Attached,1979,2,410,3,0,0,None,118964
94,10402,Single Family Detached,1 Story,7,5,2009,2009,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,0,1226,GasA,5,Yes,1226,0,1226,Attached,2009,3,740,3,0,36,None,198900
0,7758,Single Family Detached,1.5 Story,7,4,1931,1950,Gable,Standard Composite Shingle,3,2,Poured Concrete,3,3,224,1040,GasA,5,Yes,1226,592,1818,Detached,1951,1,240,3,0,0,None,169500
75,9375,Single Family Detached,2 Story,8,5,2003,2004,Hip,Standard Composite Shingle,4,3,Poured Concrete,5,3,0,1053,GasA,5,Yes,1053,939,1992,Attached,2003,2,648,3,140,45,None,250000
60,10800,Single Family Detached,1 Story,4,7,1885,1995,Mansard,Standard Composite Shingle,3,3,Brick & Tile,2,3,0,641,GasA,4,Yes,1047,0,1047,Detached,1954,1,273,2,0,0,Shed,100000
50,6000,Single Family Detached,1 Story,5,5,1948,1950,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,104,789,GasA,5,Yes,789,0,789,Detached,1948,1,250,3,0,0,None,115000
85,8500,Single Family Detached,1.5 Story,5,7,1919,2005,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,0,793,GasW,3,No,997,520,1517,None,1919,0,0,0,0,0,None,115000
105,11751,Single Family Detached,1 Story,6,6,1977,1977,Hip,Standard Composite Shingle,3,3,Cinder Block,4,3,705,1844,GasA,5,Yes,1844,0,1844,Attached,1977,2,546,3,0,122,None,190000
75,9525,Single Family Detached,1.5 Story,6,4,1954,1972,Gable,Standard Composite Shingle,3,3,Cinder Block,3,2,444,994,GasA,4,Yes,1216,639,1855,Attached,1954,1,325,3,182,0,None,136900
0,7750,Single Family Detached,Split Level,7,5,2000,2000,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,250,384,GasA,5,Yes,774,656,1430,Built-In,2000,2,400,3,180,0,None,180000
77,9965,Single Family Detached,2 Story,7,5,2007,2007,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,984,1264,GasA,5,Yes,1282,1414,2696,Built-In,2007,3,792,3,120,184,None,383970
0,21000,Single Family Detached,1 Story,6,5,1953,1953,Hip,Standard Composite Shingle,3,4,Cinder Block,4,3,35,1809,GasA,3,Yes,2259,0,2259,Basement Garage,1953,2,450,3,166,120,None,217000
61,7259,Single Family Detached,2 Story,6,8,1945,2002,Gambrel,Standard Composite Shingle,3,3,Cinder Block,3,3,774,1028,GasA,5,Yes,1436,884,2320,Detached,1945,1,180,3,224,0,None,259500
34,3230,Townhouse End Unit,2 Story,6,5,1999,1999,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,419,729,GasA,4,Yes,729,729,1458,Detached,1999,2,440,3,0,32,None,176000
0,11616,Single Family Detached,1 Story,5,5,1962,1962,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,170,1092,GasA,3,Yes,1092,0,1092,Attached,1962,1,288,3,0,20,None,139000
74,8536,Single Family Detached,1 Story,5,5,2006,2007,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,0,1125,GasA,4,Yes,1125,0,1125,Attached,2007,2,430,3,80,64,None,155000
90,12376,Single Family Detached,2 Story,7,5,1990,1990,Hip,Standard Composite Shingle,3,3,Poured Concrete,4,3,1470,1673,GasA,4,Yes,1699,1523,3222,Attached,1990,3,594,3,367,0,None,320000
65,8461,Single Family Detached,2 Story,6,5,2005,2006,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,728,GasA,5,Yes,728,728,1456,Attached,2005,2,390,3,0,24,None,163990
0,21453,Single Family Detached,Split Level,6,5,1969,1969,Flat,Metal,3,3,Cinder Block,3,3,938,938,GasA,5,Yes,988,0,988,Attached,1969,2,540,3,0,130,None,180000
50,6060,Single Family Detached,1.5 Story,4,5,1939,1950,Gable,Standard Composite Shingle,3,3,Poured Concrete,3,3,0,732,GasA,4,Yes,772,351,1123,Detached,1979,1,264,3,0,0,None,100000
75,9464,Single Family Detached,1 Story,6,7,1958,1958,Hip,Standard Composite Shingle,3,4,Cinder Block,3,3,570,1080,GasA,4,Yes,1080,0,1080,Attached,1958,1,288,3,0,0,None,136000
55,7892,Townhouse End Unit,1 Story,6,5,1993,1993,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,300,1199,GasA,5,Yes,1199,0,1199,Attached,1993,2,530,3,0,63,None,153900
48,17043,Single Family Detached,1 Story,6,5,1979,1998,Gable,Standard Composite Shingle,3,4,Cinder Block,4,2,0,1362,GasA,3,Yes,1586,0,1586,Attached,1979,2,435,3,192,0,None,181000
60,6780,Two Family Conversion,1.5 Story,6,8,1935,1982,Gable,Standard Composite Shingle,3,2,Cinder Block,3,3,490,520,GasA,4,No,520,0,754,None,1935,0,0,0,53,0,None,84500
0,4928,Townhouse End Unit,1 Story,6,5,1976,1976,Gable,Standard Composite Shingle,3,3,Cinder Block,4,3,120,1078,GasA,3,Yes,958,0,958,Attached,1977,2,440,3,0,205,None,128000
55,4388,Single Family Detached,1.5 Story,5,7,1930,1950,Gable,Standard Composite Shingle,3,4,Brick & Tile,3,3,116,672,GasA,5,Yes,840,0,840,None,1930,0,0,0,0,0,None,87000
69,7590,Single Family Detached,2 Story,6,5,1966,1966,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,512,660,GasA,3,Yes,660,688,1348,Attached,1966,2,453,3,188,108,None,155000
69,8973,Single Family Detached,1 Story,5,7,1958,1991,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,567,1008,GasA,3,Yes,1053,0,1053,More than one type,1998,2,750,3,0,80,Second Garage,150000
88,14200,Single Family Detached,2 Story,7,6,1966,1966,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,445,924,GasA,5,Yes,1216,941,2157,Attached,1966,2,487,3,105,66,None,226000
